project_id,download_time,bidtab_success,proposal_success,bidtab_file,proposal_file,error
105522,2025-06-01 03:28:56.277215,True,True,,,
88832,2025-06-01 03:29:37.504630,True,True,,,
94263,2025-06-01 03:30:18.850614,True,True,,,
76467,2025-06-01 03:30:59.754908,True,True,,,
101555,2025-06-01 03:31:41.186374,True,True,,,
98470,2025-06-01 03:32:22.032425,True,True,,,
103062,2025-06-01 03:33:03.948917,True,True,,,
94400,2025-06-01 03:33:45.951454,True,True,,,
87194,2025-06-01 03:34:26.987162,True,True,,,
94079,2025-06-01 03:35:08.574614,True,True,,,
99627,2025-06-01 03:35:49.791218,True,True,,,
91512,2025-06-01 03:36:31.212612,True,True,,,
94131,2025-06-01 03:37:13.121202,True,True,,,
94110,2025-06-01 03:37:54.193567,True,True,,,
91837,2025-06-01 03:38:34.968865,True,True,,,
99593,2025-06-01 03:39:16.283077,True,True,,,
89246,2025-06-01 03:39:56.906396,True,True,,,
93147,2025-06-01 03:40:38.053512,True,True,,,
99629,2025-06-01 03:41:19.151798,True,True,,,
94134,2025-06-01 03:42:00.136277,True,True,,,
102364,2025-06-01 03:42:41.906901,True,True,,,
100968,2025-06-01 03:43:22.977588,True,True,,,
102835,2025-06-01 03:44:04.541738,True,True,,,
87283,2025-06-01 03:44:45.743140,True,True,,,
97243,2025-06-01 03:45:26.603662,True,True,,,
87352,2025-06-01 03:46:07.556652,True,True,,,
100676,2025-06-01 03:46:48.488986,True,True,,,
94394,2025-06-01 03:47:30.022988,True,True,,,
90909,2025-06-01 03:48:10.994635,True,True,,,
88848,2025-06-01 03:48:51.643439,True,True,,,
102808,2025-06-01 03:49:32.618946,True,True,,,
103254,2025-06-01 03:50:13.994654,True,True,,,
91766,2025-06-01 03:50:55.188774,True,True,,,
103252,2025-06-01 03:51:36.148223,True,True,,,
94133,2025-06-01 03:52:17.100976,True,True,,,
102817,2025-06-01 03:52:58.027760,True,True,,,
102413,2025-06-01 03:53:39.191691,True,True,,,
98702,2025-06-01 03:54:20.220379,True,True,,,
81641,2025-06-01 03:55:01.249154,True,True,,,
91391,2025-06-01 03:55:45.209191,True,True,,,
87718,2025-06-01 03:56:26.244233,True,True,,,
95447,2025-06-01 03:57:07.768281,True,True,,,
93645,2025-06-01 03:57:49.473093,True,True,,,
104854,2025-06-01 03:58:30.387444,True,True,,,
85530,2025-06-01 03:59:11.184731,True,True,,,
100999,2025-06-01 03:59:52.315998,True,True,,,
102763,2025-06-01 04:00:34.205927,True,True,,,
95564,2025-06-01 04:01:14.939062,True,True,,,
83064,2025-06-01 04:01:55.699556,True,True,,,
102974,2025-06-01 04:02:36.487611,True,True,,,
103055,2025-06-01 04:03:17.414608,True,True,,,
95510,2025-06-01 04:03:59.243922,True,True,,,
87286,2025-06-01 04:04:40.289637,True,True,,,
98266,2025-06-01 04:05:21.056568,True,True,,,
101246,2025-06-01 04:06:01.869607,True,True,,,
97956,2025-06-01 04:06:42.757960,True,True,,,
102832,2025-06-01 04:07:23.885667,True,True,,,
102802,2025-06-01 04:08:04.850439,True,True,,,
